,id,name,metadata
0,1.0,MALICE MIZER,art rock gothic rock neoclassical darkwave synthpop better than lady gaga gothic j rock japanese jrock visual kei weeabo
1,2.0,Diary of Dreams,darkwave electro industrial ambient dark darkwave electronic german gothic gothic rock industrial seen live true goth emo vocal
2,3.0,Carpathian Forest,black metal black metal norsk arysk metal norwegian black metal saxophone true norwegian black metal very kvlt
3,4.0,Moi dix Mois,gothic metal industrial metal symphonic metal bazarov gothic gothic japanese gothic metal j rock japanese metal rock visual kei
4,5.0,Bella Morte,dark wave deathrock gothic rock industrial music cover darkwave deathrock gothic gothic rock
5,6.0,Moonspell,black metal doom metal gothic metal melodic death metal awesome bazarov best song ever black metal dark dark metal doom metal for work fucking awesome gothic gothic metal gothic rock great instrumental portuguese seen live
6,7.0,Marilyn Manson, 00s 2000 s 90 addictive alternative alternative metal alternative rock amazing american analrape animal a attitude awesome cartoon metal childhood cover cover cover that are actually good cover that are far far better than the original dark depression emo favorite film music composer fucking awesome glam rock gorgeous gothic gothic metal gothic rock great great cover great lyric guerilla halloween hard rock heavy metal horror rock i fucking love this song industrial industrial metal industrial pop industrial rock instrumental intense mutha fuckin power violence legal male vocalist manson marilyn manson masterpiece me likey melancholic metal nightmare before christmas nu metal other great track ponyrape rock rock me babe screamo seen live sexy shit shock rock shockrock so sad yet so beautiful soundtrack stoner rock tag trashbag filled with vomit ultimate favorite usa
7,8.0,DIR EN GREY,alternative metal avant garde metal death metal gothic metal nu metal progressive metal dark favorite hall hard rock metal j rock japanese jrock metal rock visual kei weeabo
8,9.0,Combichrist,electro industrial industrial metal power noise aggrotech alpha quadrant combichrist dark electro dark techno ebm electro electro industrial electronic futuremelon helltrance industrial industrial dance industrial techno prejebeno remix seen live tbm techno terrorbaa ultimate favorite war
9,10.0,Grendel, dark electro dutch ebm electronic harsh ebm industrial melodic death metal terrorbaa
10,11.0,Agonoize,aggrotech dark electro ebm electronic german industrial rave terrorbaa
11,12.0,Behemoth, black metal black metal cabeza blackened death metal brutal death metal death metal death black metal extreme metal pldm polish polish death metal technical death metal
12,13.0,Hocico,aggrotech electro industrial aggrotech dark electro ebm electro industrial electronic friend harsh ebm industrial
13,15.0,Dimmu Borgir,symphonic black metal atmospheric black metal awesome black metal black metal cabeza close your eye and imagine dark metal death metal extreme metal halloween melodic black metal melodic heavy metal metal nordic metal norwegian black metal norwegian metal prejebeno symphonic symphonic black metal symphonic metal true norwegian black metal
14,16.0,London After Midnight, cover dark wave darkwave electronic goth gothic gothic rock heavy industrial sexy song weird
15,17.0,Psyclon Nine,aggrotech black metal electro industrial industrial metal industrial rock aggrotech dark electro ebm harsh ebm heavy industrial terrorbaa
16,18.0,The Crüxshadows, cover dark wave darkwave ebm electro pop electronic electronica goth gothic gothic rock industrial synthpop ultimate favorite
17,19.0,:wumpscut:, dark electro darkwave ebm electro industrial electronic favorite german industrial ogonj ohm sweet ohm oni pout perfect po kraftwerkski remix ultimate favorite
18,20.0,Limbonic Art,symphonic black metal black metal metal norwegian black metal symphonic black metal symphonic metal
19,22.0,xotox, ebm electro industrial industrial noise powernoise
20,23.0,The Kovenant,industrial metal symphonic black metal black metal cyber metal electronic industrial industrial black metal industrial metal just could not get any better prejebeno
21,24.0,Feindflug,electro industrial power noise approfondire ebm electro industrial industrial rave terrorbaa
22,25.0,Cradle of Filth,extreme metal black gay black metal cover death metal gothic gothic metal great intro melodic black metal metal symphonic black metal uk who is goth lol
23,26.0,Tamtrum,aggrotech dark electro electronic favourite french friend harsh ebm industrial melancholy sad seen live toured with
24,27.0,Laibach,avant garde music electro industrial electronic music experimental music industrial music martial industrial neoclassical dark wave avant garde cover cover ebm electro electronic experimental favorite german industrial ultimate favorite
25,28.0,Gorgoroth,black metal black metal black metal cabeza killer drum metal norwegian black metal satanic metal seen live true black metal true norwegian black metal very kvlt
