,id,name,genre
0,1,MALICE MIZER,
1,2,Diary of Dreams,
2,3,Carpathian Forest,
3,4,Moi dix Mois,
4,5,Bella Morte,
5,6,Moonspell,"['Death metal', 'Metal']"
6,7,Marilyn Manson,
7,8,DIR EN GREY,"['Death metal', 'Progressive metal', 'Rock']"
8,9,Combichrist,
9,10,Grendel,"['Myth', 'Fantasy Fiction', 'Postmodern literature']"
10,11,Agonoize,
11,12,Behemoth,"['Death metal', 'Metal']"
12,13,Hocico,
13,15,Dimmu Borgir,"['Metal', 'Rock']"
14,16,London After Midnight,
15,17,Psyclon Nine,
16,18,The Crüxshadows,
17,19,:wumpscut:,
18,20,Limbonic Art,
19,21,Artista sconosciuto,
20,22,xotox,
21,23,The Kovenant,
22,24,Feindflug,
23,25,Cradle of Filth,
24,26,Tamtrum,
25,27,Laibach,
26,28,Gorgoroth,
27,30,And One,
28,31,Amduscia,
29,32,Covenant,"['Alternative/Indie', 'R&B/Soul', 'Hip-Hop/Rap', 'Christian']"
30,34,Icon of Coil,
31,36,KMFDM,
32,37,Funker Vogt,
33,38,Dawn of Ashes,"['Death metal', 'Dance/Electronic', 'Rock']"
34,39,Sopor Aeternus & The Ensemble of Shadows,
35,40,The Faint,"['Electronic dance music', 'Rock']"
36,41,God Module,"['Alternative/Indie', 'Dance/Electronic']"
37,43,Noisuf-X,
38,44,Das Ich,
39,45,Mindless Self Indulgence,"['Electronic dance music', 'Dance/Electronic', 'Alternative/Indie']"
40,46,Pyotr Ilyich Tchaikovsky,
41,47,Emperor,"['Progressive metal', 'Metal', 'Rock', 'Dance/Electronic', 'Hip-Hop/Rap']"
42,48,Anorexia Nervosa,
43,49,Reaper,"['Alternative/Indie', 'Dance/Electronic', 'Hip-Hop/Rap']"
44,50,Gothminister,
45,51,Duran Duran,
46,52,Morcheeba,"['Dance/Electronic', 'Electronic dance music', 'Pop']"
47,53,Air,"['Dance/Electronic', 'Electronic dance music']"
48,54,Hooverphonic,"['Pop', 'Dance/Electronic', 'Alternative/Indie', 'Rock']"
49,55,Kylie Minogue,"['Electronic dance music', 'Dance/Electronic']"
50,56,Daft Punk,"['Electronic dance music', 'Dance/Electronic']"
51,57,Thievery Corporation,
52,58,Goldfrapp,"['Electronic dance music', 'Dance/Electronic']"
53,59,New Order,"['Electronic dance music', 'Dance/Electronic']"
54,60,Matt Bianco,
55,61,Talk Talk,
56,62,Prefab Sprout,
57,63,Enigma,"['Dance/Electronic', 'Pop', 'Rock', 'Hip-Hop/Rap', 'Folk']"
58,64,Röyksopp,"['Electronic dance music', 'Dance/Electronic']"
59,65,Coldplay,
60,66,Faithless,"['Electronic dance music', 'Dance/Electronic']"
61,67,Madonna,"['Electronic dance music', 'Pop', 'Dance/Electronic']"
62,68,Icehouse,"['Rock', 'Dance/Electronic']"
63,69,Sade,"['Soul music', 'Smooth jazz', 'Sophisti-pop', 'Quiet storm']"
64,70,Moby,"['Electronic dance music', 'Dance/Electronic', 'Rock', 'Hip-Hop/Rap']"
65,71,Dido,"['Pop', 'Dance/Electronic']"
66,72,Depeche Mode,
67,73,Café Del Mar,
68,74,Basia,"['Pop', 'Jazz']"
69,75,Camouflage,"['Dance/Electronic', 'Pop']"
70,76,Electronic,
71,77,George Michael,
72,78,The Adventures,['Adventure']
73,79,Fiction Factory,
