,id,name,genre_google,artist,genre_wiki,genre_merge
0,1,MALICE MIZER,,malice mizer,"['neoclassical darkwave', 'gothic rock', 'synthpop', 'art rock']","['neoclassical darkwave', 'gothic rock', 'synthpop', 'art rock']"
1,2,Diary of Dreams,,diary of dreams,"['electro-industrial', 'darkwave']","['electro-industrial', 'darkwave']"
2,3,Carpathian Forest,,carpathian forest,['black metal'],['black metal']
3,4,Moi dix Mois,,moi dix mois,"['industrial metal', 'symphonic metal', 'gothic metal']","['industrial metal', 'symphonic metal', 'gothic metal']"
4,5,Bella Morte,,bella morte,"['dark wave', 'industrial music', 'deathrock', 'gothic rock']","['dark wave', 'industrial music', 'deathrock', 'gothic rock']"
5,6,Moonspell,"['death metal', 'metal']",moonspell,"['melodic death metal', 'doom metal', 'gothic metal', 'black metal']","['death metal', 'metal', 'melodic death metal', 'doom metal', 'gothic metal', 'black metal']"
6,8,DIR EN GREY,"['death metal', 'progressive metal', 'rock']",dir en grey,"['alternative metal', 'progressive metal', 'nu metal', 'death metal', 'avant-garde metal', 'gothic metal']","['death metal', 'progressive metal', 'rock', 'alternative metal', 'progressive metal', 'nu metal', 'death metal', 'avant-garde metal', 'gothic metal']"
7,9,Combichrist,,combichrist,"['electro-industrial', 'industrial metal', 'power noise']","['electro-industrial', 'industrial metal', 'power noise']"
8,10,Grendel,"['myth', 'fantasy fiction', 'postmodern literature']",grendel,,"['myth', 'fantasy fiction', 'postmodern literature']"
9,11,Agonoize,,agonoize,['aggrotech'],['aggrotech']
10,12,Behemoth,"['death metal', 'metal']",behemoth,,"['death metal', 'metal']"
11,13,Hocico,,hocico,"['electro-industrial', 'aggrotech']","['electro-industrial', 'aggrotech']"
12,15,Dimmu Borgir,"['metal', 'rock']",dimmu borgir,['symphonic black metal'],"['metal', 'rock', 'symphonic black metal']"
13,17,Psyclon Nine,,psyclon nine,"['electro-industrial', 'aggrotech', 'industrial rock', 'black metal', 'industrial metal']","['electro-industrial', 'aggrotech', 'industrial rock', 'black metal', 'industrial metal']"
14,20,Limbonic Art,,limbonic art,['symphonic black metal'],['symphonic black metal']
