tagID,count,tagValue,translated
73,7503,rock,rock
24,5418,pop,pop
79,5251,alternative,alternative
18,4672,electronic,electronic
81,4458,indie,indie
130,4228,female vocalists,female vocalists
25,2791,80s,80s
39,2739,dance,dance
78,2631,alternative rock,alternative rock
192,2287,classic rock,classic rock
195,2092,british,british
84,2060,indie rock,indie rock
134,1834,singer-songwriter,singer-songwriter
72,1789,hard rock,hard rock
33,1741,experimental,experimental
1,1729,metal,metal
14,1699,ambient,ambient
352,1615,90s,90s
16,1595,new wave,new wave
127,1439,seen live,seen live
13,1387,chillout,chillout
102,1385,hip-hop,hip-hop
181,1311,punk,punk
292,1309,folk,people
187,1289,electronica,electronic
167,1266,rnb,rnb
191,1203,instrumental,instrumental
386,1108,heavy metal,heavy metal
625,1097,soul,soul
185,1045,acoustic,acoustic
387,1038,progressive rock,progressive rock
735,1025,70s,70s
83,984,jazz,jazz
184,945,soundtrack,soundtrack
306,925,male vocalists,male vocalists
61,884,industrial,industrial
21,876,trip-hop,trip-hop
376,867,metalcore,metalcore
103,860,rap,rap
74,847,synthpop,synthpop
216,828,american,american
194,823,hardcore,hardcore
296,815,indie pop,indie pop
109,811,pop rock,pop rock
210,808,00s,00s
389,765,britpop,britpop
275,757,post-punk,post-punk
247,745,60s,60s
182,744,punk rock,punk rock
829,705,blues,blues
88,700,psychedelic,psychedelic
15,685,downtempo,downtempo
213,675,beautiful,beautiful
238,665,sexy,sexy
91,654,thrash metal,thrash metal
47,640,idm,idm
87,633,post-rock,post-rock
309,631,electro,electro
285,625,awesome,awesome
508,620,love,love
824,595,mellow,mellow
850,583,cover,cover
5,582,death metal,death metal
49,579,female vocalist,female vocalist
180,567,post-hardcore,post-hardcore
432,565,brazilian,brazilian
234,539,amazing,amazing
169,531,pop punk,pop punk
193,514,country,country
86,511,ebm,ebm
76,506,progressive metal,progressive metal
176,505,emo,emo
304,504,hip hop,hip hop
526,478,piano,plan
178,468,screamo,screamo
90,464,trance,trance
85,459,funk,funk
545,454,classical,classical
177,452,nu metal,not metal
364,448,favorites,favorites
385,433,melodic death metal,melodic death metal
179,412,gothic,gothic
170,408,grunge,grunge
105,404,house,house
30,394,german,german
346,392,female,female
611,388,canadian,canadian
615,388,power metal,power metal
570,382,techno,techno
231,381,ballad,ballad
121,377,uk,uk
206,355,<3,<3
730,349,love at first listen,love at first listen
1911,346,cool,cool
321,341,french,french
228,335,catchy,catchy
378,334,deathcore,deathcore
541,331,japanese,japanese
17,327,synth pop,synth pop
839,315,sad,now
308,313,latin,latin
481,312,usa,USA
391,308,shoegaze,shoegaze
823,306,brasil,Brazil
311,306,reggae,reggae
4,301,black metal,black metal
7,300,gothic metal,gothic metal
229,300,epic,epic
199,296,electropop,electropop
299,291,world,world
370,289,favorite,favorite
445,288,blues rock,blues rock
693,278,mpb,mpb
34,272,minimal,minimal
695,258,oldies,oldies
20,256,lounge,lounge
424,256,progressive,progressive
1097,255,covers,covers
575,244,darkwave,darkwave
203,242,disco,disk
89,239,symphonic metal,symphonic metal
23,239,new age,new age
527,239,classic,classic
32,238,avant-garde,avant-garde
830,237,guitar,guitar
393,228,dream pop,dream pop
26,227,atmospheric,atmospheric
935,224,lo-fi,lo-fi
67,218,noise,noise
75,218,psychedelic rock,psychedelic rock
354,217,fun,fun
724,213,happy,happy
2,212,alternative metal,alternative metal
140,212,j-pop,j-pop
601,211,swedish,swedish
6,210,industrial metal,industrial metal
1252,210,christian,christian
826,209,chill,chill
1354,209,soft rock,soft rock
1447,202,remix,remix
512,200,romantic,romantic
2726,197,favorite songs,favorite songs
511,195,english,english
265,193,ska,ska
1076,192,rock n roll,rock n roll
319,190,spanish,spanish
108,188,rock and roll,rock and roll
640,184,urban,urban
741,174,grindcore,grindcore
345,174,russian,russian
139,174,j-rock,j-rock
209,171,legend,legend
2349,170,sweet,sweet
565,168,dark electro,dark electro
188,168,polish,polish
249,168,garage rock,garage rock
836,168,dreamy,dreamy
600,167,futurepop,futurepop
183,167,christian rock,christian rock
190,166,gothic rock,gothic rock
82,164,doom metal,doom metal
848,163,hair metal,hair metal
56,151,melancholic,melancholic
405,149,disney,disney
200,149,hot,hot
80,149,glam rock,glam rock
1249,149,powerpop,powerpop
1492,146,relax,relax
483,145,party,party
825,144,relaxing,relaxing
574,143,dark ambient,dark ambient
662,143,perfect,perfect
406,142,brazil,brazil
395,142,new romantic,new romantic
608,142,italian,italian
186,138,emocore,emocore
1995,138,icelandic,icelandic
706,137,2008,2008
1006,134,mathcore,mathcore
1352,134,love songs,love songs
230,133,love it,love it
27,132,ethereal,ethereal
793,132,fucking awesome,fucking awesome
201,132,guilty pleasures,guilty pleasures
1356,131,50s,50s
1210,130,southern rock,southern rock
396,129,electroclash,electroclash
617,128,speed metal,speed metal
360,127,australian,australian
557,126,easy listening,easy listening
69,126,dub,dub
1627,125,bossa nova,bossa nova
447,125,favourites,favourites
642,124,guilty pleasure,guilty pleasure
1355,124,christmas,christmas
1753,124,cute,cute
208,123,diva,diva
564,122,psytrance,psytrance
742,122,brutal death metal,brutal death metal
1754,121,male vocalist,male vocalist
781,120,2010,2010
828,120,finnish,finnish
719,118,gossip girl,gossip girl
1365,118,female fronted metal,female fronted metal
46,116,melancholy,melancholy
327,115,progressive trance,progressive trance
242,112,power pop,power pop
1534,111,indietronica,backward
98,111,summer,summer
347,109,gay,gay
500,109,brilliant,brilliant
821,109,post rock,post rock
1358,106,post-grunge,post grunge
641,106,top 40,top 40
233,106,dark,dark
743,104,technical death metal,technical death metal
727,104,vocal,vocal
713,104,best song ever,best song ever
503,104,live,live
356,104,latin pop,latin pop
626,103,drum and bass,drum and bass
287,103,lovely,lovely
2139,103,halloween,halloween
1286,101,glam metal,glam metal
141,101,visual kei,visual kei
799,101,genius,genius
2115,100,acoustic rock,acoustic rock
3375,99,memories,memories
1538,97,art rock,art rock
59,96,drone,drone
1970,96,male,male
349,96,teen pop,teen pop
784,94,american idol,american idol
996,94,korean,korean
1478,93,goth,goth
3673,93,ultimate favorite,ultimate favorite
253,93,rockabilly,rockabilly
1735,92,club,club
409,90,guitar virtuoso,virtuoso guitar
528,90,folk rock,folk rock
