name,userID,artistID,weight
MALICE MIZER,34,1,212
MALICE MIZER,274,1,483
Diary of Dreams,397,2,56
Diary of Dreams,580,2,803
Diary of Dreams,1551,2,868
Diary of Dreams,1679,2,161
Diary of Dreams,2066,2,83
Carpathian Forest,1287,3,330
Carpathian Forest,2100,3,408
Moi dix Mois,681,4,562
Moonspell,241,6,1295
Moonspell,496,6,95
Moonspell,1287,6,205
Moonspell,1619,6,1570
Moonspell,2100,6,404
Marilyn Manson,59,7,1410
Marilyn Manson,172,7,249
Marilyn Manson,179,7,270
Marilyn Manson,189,7,553
Marilyn Manson,191,7,32
Marilyn Manson,206,7,70
Marilyn Manson,238,7,1234
Marilyn Manson,269,7,18
Marilyn Manson,306,7,88
Marilyn Manson,346,7,586
Marilyn Manson,372,7,95
Marilyn Manson,433,7,192
Marilyn Manson,516,7,13270
Marilyn Manson,558,7,43
Marilyn Manson,560,7,213
Marilyn Manson,575,7,232
Marilyn Manson,592,7,2900
Marilyn Manson,657,7,212
Marilyn Manson,666,7,265
Marilyn Manson,706,7,1244
Marilyn Manson,737,7,329
Marilyn Manson,741,7,397
Marilyn Manson,794,7,99
Marilyn Manson,818,7,399
Marilyn Manson,893,7,129
Marilyn Manson,979,7,638
Marilyn Manson,991,7,321
Marilyn Manson,1034,7,113
Marilyn Manson,1041,7,51
Marilyn Manson,1133,7,232
Marilyn Manson,1171,7,59
Marilyn Manson,1236,7,15239
Marilyn Manson,1273,7,109
Marilyn Manson,1293,7,116
Marilyn Manson,1551,7,1025
Marilyn Manson,1607,7,250
Marilyn Manson,1710,7,273
Marilyn Manson,1749,7,947
Marilyn Manson,1829,7,1132
Marilyn Manson,1899,7,2481
Marilyn Manson,1968,7,264
Marilyn Manson,1999,7,410
Marilyn Manson,2008,7,709
Marilyn Manson,2031,7,3835
Marilyn Manson,2046,7,1752
DIR EN GREY,9,8,587
DIR EN GREY,807,8,151
DIR EN GREY,844,8,189
DIR EN GREY,1730,8,1581
Combichrist,211,9,102
Combichrist,313,9,761
Combichrist,403,9,106
Combichrist,438,9,4
Combichrist,506,9,239
Combichrist,935,9,108
Combichrist,1273,9,275
Combichrist,1500,9,142
Combichrist,1551,9,663
Grendel,325,10,722
Grendel,914,10,1332
Grendel,1827,10,611
Agonoize,313,11,138
Agonoize,914,11,762
Agonoize,1089,11,148
Behemoth,491,12,315
Behemoth,548,12,57
Behemoth,607,12,120
Behemoth,1296,12,56
Behemoth,1352,12,141
Behemoth,1493,12,145
Behemoth,2060,12,122
Behemoth,2100,12,1253
Hocico,277,13,639
Hocico,325,13,263
Hocico,519,13,205
Hocico,1089,13,134
Hocico,1604,13,229
Dimmu Borgir,44,15,117
Dimmu Borgir,108,15,278
Dimmu Borgir,154,15,13
Dimmu Borgir,235,15,601
Dimmu Borgir,313,15,100
Dimmu Borgir,424,15,280
Dimmu Borgir,449,15,137
Dimmu Borgir,1018,15,367
Dimmu Borgir,1287,15,77
Dimmu Borgir,1536,15,53
Dimmu Borgir,1619,15,338
London After Midnight,1601,16,236
London After Midnight,1679,16,131
Psyclon Nine,438,17,10
Psyclon Nine,557,17,197
The Crüxshadows,729,18,59
The Crüxshadows,2055,18,655
:wumpscut:,257,19,265
:wumpscut:,1125,19,81
:wumpscut:,1827,19,858
The Kovenant,1026,23,477
Feindflug,257,24,114
Cradle of Filth,84,25,77
Cradle of Filth,950,25,411
Cradle of Filth,1183,25,327
Cradle of Filth,1619,25,1907
Cradle of Filth,1923,25,920
Cradle of Filth,1924,25,1346
Tamtrum,277,26,549
Laibach,454,27,431
Laibach,1125,27,33
Gorgoroth,208,28,86
Gorgoroth,2100,28,911
And One,275,30,33
And One,442,30,321
And One,729,30,232
And One,762,30,287
And One,777,30,1131
And One,802,30,2
And One,850,30,12464
And One,935,30,364
And One,1125,30,58
And One,1163,30,23
And One,1213,30,21
And One,1427,30,493
And One,1653,30,148
Amduscia,1393,31,391
Covenant,40,32,411
Covenant,557,32,164
Covenant,566,32,207
Covenant,1213,32,25
Covenant,1541,32,29
Icon of Coil,257,34,176
Icon of Coil,506,34,81
Icon of Coil,1841,34,126
KMFDM,891,36,225
KMFDM,1125,36,66
KMFDM,1427,36,533
KMFDM,1551,36,663
Funker Vogt,438,37,5
Dawn of Ashes,40,38,404
Sopor Aeternus & The Ensemble of Shadows,371,39,647
Sopor Aeternus & The Ensemble of Shadows,474,39,1491
Sopor Aeternus & The Ensemble of Shadows,496,39,89
Sopor Aeternus & The Ensemble of Shadows,516,39,5194
Sopor Aeternus & The Ensemble of Shadows,1553,39,894
Sopor Aeternus & The Ensemble of Shadows,1601,39,1016
Sopor Aeternus & The Ensemble of Shadows,2004,39,178
The Faint,49,40,79
The Faint,176,40,543
The Faint,567,40,762
The Faint,714,40,85
The Faint,1352,40,81
The Faint,1472,40,84
The Faint,1524,40,654
The Faint,1992,40,478
Mindless Self Indulgence,273,45,498
Mindless Self Indulgence,652,45,87
Mindless Self Indulgence,792,45,428
Mindless Self Indulgence,1011,45,4204
Mindless Self Indulgence,1012,45,547
Mindless Self Indulgence,1020,45,257
Mindless Self Indulgence,1024,45,932
Mindless Self Indulgence,1028,45,131
Mindless Self Indulgence,1100,45,209
Mindless Self Indulgence,1259,45,4589
Mindless Self Indulgence,1371,45,493
Mindless Self Indulgence,1442,45,392
Mindless Self Indulgence,1479,45,239
Mindless Self Indulgence,1522,45,43
Mindless Self Indulgence,1551,45,547
Mindless Self Indulgence,1613,45,446
Mindless Self Indulgence,1619,45,1360
Mindless Self Indulgence,1827,45,632
Mindless Self Indulgence,1947,45,243
Pyotr Ilyich Tchaikovsky,654,46,104
Pyotr Ilyich Tchaikovsky,1597,46,177
Emperor,108,47,506
Emperor,1324,47,367
Anorexia Nervosa,1287,48,163
Reaper,686,49,949
Reaper,1089,49,188
Gothminister,908,50,30
Gothminister,1841,50,278
Duran Duran,2,51,13883
Duran Duran,62,51,528
Duran Duran,63,51,563
Duran Duran,66,51,910
Duran Duran,73,51,1962
Duran Duran,96,51,63
Duran Duran,176,51,4266
Duran Duran,187,51,295
Duran Duran,191,51,23
Duran Duran,338,51,2002
Duran Duran,374,51,71
Duran Duran,397,51,60
Duran Duran,446,51,3669
Duran Duran,453,51,235
Duran Duran,515,51,274
Duran Duran,540,51,4753
Duran Duran,576,51,398
Duran Duran,592,51,16725
Duran Duran,656,51,263
Duran Duran,1003,51,919
Duran Duran,1010,51,18
Duran Duran,1038,51,461
Duran Duran,1115,51,4
Duran Duran,1149,51,15
Duran Duran,1192,51,618
Duran Duran,1229,51,157
Duran Duran,1249,51,235
Duran Duran,1427,51,2485
Duran Duran,1454,51,332
Duran Duran,1456,51,1447
Duran Duran,1541,51,148
Duran Duran,1643,51,21572
Duran Duran,1724,51,111
Duran Duran,1818,51,1
Duran Duran,1881,51,2182
Duran Duran,1905,51,745
Duran Duran,1956,51,817
Duran Duran,1958,51,37
Duran Duran,2014,51,265
Duran Duran,2025,51,647
Duran Duran,2075,51,166
Morcheeba,191,52,28
Morcheeba,283,52,68
Morcheeba,382,52,924
Morcheeba,461,52,18
Morcheeba,541,52,894
Morcheeba,1676,52,125
Morcheeba,1700,52,93
Morcheeba,1931,52,24
Morcheeba,2036,52,95
Air,2,53,11351
Air,4,53,686
Air,5,53,181
Air,103,53,36
Air,184,53,160
Air,194,53,1284
Air,243,53,957
Air,315,53,308
Air,398,53,864
Air,426,53,721
Air,434,53,43
Air,493,53,18
Air,635,53,66
Air,643,53,489
Air,756,53,18
Air,837,53,209
Air,925,53,883
Air,968,53,464
Air,997,53,627
Air,1006,53,285
Air,1049,53,73
Air,1234,53,176
Air,1239,53,233
Air,1265,53,127
Air,1383,53,342
Air,1491,53,196
Air,1496,53,458
Air,1587,53,577
Air,1691,53,205
Air,1785,53,986
Air,1798,53,27
Air,1836,53,3
Air,1885,53,55
Air,1958,53,47
Air,1992,53,540
Air,2047,53,134
Hooverphonic,2,54,10300
Hooverphonic,1616,54,88
Hooverphonic,1793,54,689
Kylie Minogue,29,55,404
Kylie Minogue,75,55,500
Kylie Minogue,117,55,405
Kylie Minogue,214,55,329
Kylie Minogue,240,55,97
Kylie Minogue,252,55,1701
Kylie Minogue,253,55,1363
Kylie Minogue,256,55,1941
Kylie Minogue,332,55,32
Kylie Minogue,350,55,10439
Kylie Minogue,390,55,20118
Kylie Minogue,425,55,63
Kylie Minogue,458,55,54
Kylie Minogue,472,55,196
Kylie Minogue,477,55,1087
Kylie Minogue,479,55,130
Kylie Minogue,494,55,152
Kylie Minogue,495,55,74
Kylie Minogue,498,55,743
Kylie Minogue,501,55,550
Kylie Minogue,520,55,126
Kylie Minogue,527,55,227
Kylie Minogue,538,55,120
Kylie Minogue,571,55,2948
Kylie Minogue,581,55,2463
Kylie Minogue,612,55,9084
Kylie Minogue,636,55,173
Kylie Minogue,638,55,280
Kylie Minogue,679,55,1728
Kylie Minogue,682,55,359
Kylie Minogue,722,55,856
Kylie Minogue,723,55,65
Kylie Minogue,761,55,220
Kylie Minogue,777,55,242
Kylie Minogue,778,55,3278
Kylie Minogue,793,55,1520
Kylie Minogue,819,55,214
Kylie Minogue,850,55,1165
Kylie Minogue,851,55,2573
Kylie Minogue,873,55,668
Kylie Minogue,898,55,3147
Kylie Minogue,910,55,33529
Kylie Minogue,955,55,2352
Kylie Minogue,965,55,970
Kylie Minogue,966,55,208
Kylie Minogue,985,55,532
Kylie Minogue,1003,55,212
Kylie Minogue,1017,55,493
Kylie Minogue,1069,55,5070
Kylie Minogue,1092,55,1005
Kylie Minogue,1120,55,230
Kylie Minogue,1135,55,1007
Kylie Minogue,1186,55,956
Kylie Minogue,1188,55,2558
Kylie Minogue,1197,55,67
Kylie Minogue,1247,55,6788
Kylie Minogue,1255,55,598
Kylie Minogue,1263,55,925
Kylie Minogue,1291,55,58
Kylie Minogue,1300,55,5186
Kylie Minogue,1389,55,145
Kylie Minogue,1435,55,84
Kylie Minogue,1447,55,68
Kylie Minogue,1456,55,1699
