name,userID,artistID,weight
MALICE MIZER,34,1,212
MALICE MIZER,274,1,483
Diary of Dreams,397,2,56
Diary of Dreams,560,2,134
Diary of Dreams,580,2,803
Diary of Dreams,935,2,428
Diary of Dreams,1551,2,868
Diary of Dreams,1679,2,161
Diary of Dreams,2066,2,83
Carpathian Forest,1287,3,330
Carpathian Forest,2100,3,408
Moi dix Mois,510,4,1
Moi dix Mois,681,4,562
Bella Morte,1551,5,653
Moonspell,26,6,550
Moonspell,208,6,46
Moonspell,241,6,1295
Moonspell,496,6,95
Moonspell,548,6,221
Moonspell,1287,6,205
Moonspell,1619,6,1570
Moonspell,2100,6,404
Marilyn Manson,23,7,212
Marilyn Manson,59,7,1410
Marilyn Manson,124,7,102
Marilyn Manson,139,7,385
Marilyn Manson,142,7,53
Marilyn Manson,172,7,249
Marilyn Manson,179,7,270
Marilyn Manson,189,7,553
Marilyn Manson,191,7,32
Marilyn Manson,206,7,70
Marilyn Manson,238,7,1234
Marilyn Manson,269,7,18
Marilyn Manson,306,7,88
Marilyn Manson,346,7,586
Marilyn Manson,372,7,95
Marilyn Manson,397,7,128
Marilyn Manson,433,7,192
Marilyn Manson,474,7,1150
Marilyn Manson,484,7,626
Marilyn Manson,490,7,233
Marilyn Manson,516,7,13270
Marilyn Manson,526,7,16
Marilyn Manson,558,7,43
Marilyn Manson,560,7,213
Marilyn Manson,575,7,232
Marilyn Manson,592,7,2900
Marilyn Manson,657,7,212
Marilyn Manson,666,7,265
Marilyn Manson,681,7,440
Marilyn Manson,706,7,1244
Marilyn Manson,737,7,329
Marilyn Manson,741,7,397
Marilyn Manson,758,7,556
Marilyn Manson,763,7,178
Marilyn Manson,777,7,492
Marilyn Manson,788,7,106
Marilyn Manson,794,7,99
Marilyn Manson,806,7,999
Marilyn Manson,818,7,399
Marilyn Manson,844,7,738
Marilyn Manson,853,7,164
Marilyn Manson,893,7,129
Marilyn Manson,904,7,45
Marilyn Manson,927,7,391
Marilyn Manson,979,7,638
Marilyn Manson,991,7,321
Marilyn Manson,1011,7,449
Marilyn Manson,1012,7,149
Marilyn Manson,1034,7,113
Marilyn Manson,1041,7,51
Marilyn Manson,1133,7,232
Marilyn Manson,1171,7,59
Marilyn Manson,1236,7,15239
Marilyn Manson,1273,7,109
Marilyn Manson,1293,7,116
Marilyn Manson,1309,7,557
Marilyn Manson,1343,7,13
Marilyn Manson,1372,7,350
Marilyn Manson,1508,7,533
Marilyn Manson,1551,7,1025
Marilyn Manson,1553,7,155
Marilyn Manson,1607,7,250
Marilyn Manson,1619,7,1312
Marilyn Manson,1649,7,1582
Marilyn Manson,1710,7,273
Marilyn Manson,1730,7,432
Marilyn Manson,1749,7,947
Marilyn Manson,1759,7,587
Marilyn Manson,1768,7,2753
Marilyn Manson,1829,7,1132
Marilyn Manson,1856,7,707
Marilyn Manson,1858,7,124
Marilyn Manson,1862,7,257
Marilyn Manson,1865,7,792
Marilyn Manson,1899,7,2481
Marilyn Manson,1968,7,264
Marilyn Manson,1999,7,410
Marilyn Manson,2008,7,709
Marilyn Manson,2031,7,3835
Marilyn Manson,2046,7,1752
Marilyn Manson,2053,7,248
Marilyn Manson,2059,7,230
Marilyn Manson,2070,7,399
DIR EN GREY,9,8,587
DIR EN GREY,807,8,151
DIR EN GREY,844,8,189
DIR EN GREY,1161,8,513
DIR EN GREY,1730,8,1581
DIR EN GREY,1984,8,4206
Combichrist,135,9,488
Combichrist,211,9,102
Combichrist,257,9,261
Combichrist,313,9,761
Combichrist,403,9,106
Combichrist,438,9,4
Combichrist,506,9,239
Combichrist,560,9,866
Combichrist,908,9,137
Combichrist,935,9,108
Combichrist,1103,9,33
Combichrist,1273,9,275
Combichrist,1500,9,142
Combichrist,1551,9,663
Combichrist,2055,9,172
Grendel,257,10,101
Grendel,277,10,532
Grendel,325,10,722
Grendel,914,10,1332
Grendel,1604,10,366
Grendel,1827,10,611
Agonoize,313,11,138
Agonoize,914,11,762
Agonoize,1089,11,148
Behemoth,108,12,1019
Behemoth,208,12,42
Behemoth,433,12,265
Behemoth,491,12,315
Behemoth,548,12,57
Behemoth,586,12,1570
Behemoth,607,12,120
Behemoth,1018,12,375
Behemoth,1296,12,56
Behemoth,1352,12,141
Behemoth,1493,12,145
Behemoth,2060,12,122
Behemoth,2100,12,1253
Hocico,277,13,639
Hocico,325,13,263
Hocico,519,13,205
Hocico,1089,13,134
Hocico,1604,13,229
Dimmu Borgir,44,15,117
Dimmu Borgir,108,15,278
Dimmu Borgir,154,15,13
Dimmu Borgir,208,15,114
Dimmu Borgir,235,15,601
Dimmu Borgir,313,15,100
Dimmu Borgir,377,15,949
Dimmu Borgir,424,15,280
Dimmu Borgir,449,15,137
Dimmu Borgir,459,15,3124
Dimmu Borgir,592,15,388
Dimmu Borgir,706,15,116
Dimmu Borgir,715,15,198
Dimmu Borgir,1018,15,367
Dimmu Borgir,1287,15,77
Dimmu Borgir,1296,15,339
Dimmu Borgir,1536,15,53
Dimmu Borgir,1619,15,338
London After Midnight,304,16,19
London After Midnight,496,16,88
London After Midnight,1601,16,236
London After Midnight,1679,16,131
Psyclon Nine,438,17,10
Psyclon Nine,557,17,197
Psyclon Nine,777,17,500
The Crüxshadows,320,18,416
The Crüxshadows,557,18,720
The Crüxshadows,729,18,59
The Crüxshadows,2055,18,655
:wumpscut:,257,19,265
:wumpscut:,455,19,2496
:wumpscut:,777,19,126
:wumpscut:,914,19,1302
:wumpscut:,1125,19,81
:wumpscut:,1827,19,858
Limbonic Art,548,20,60
The Kovenant,433,23,183
The Kovenant,546,23,1000
The Kovenant,548,23,39
The Kovenant,1026,23,477
Feindflug,257,24,114
Feindflug,1841,24,122
Cradle of Filth,26,25,177
Cradle of Filth,84,25,77
Cradle of Filth,313,25,659
Cradle of Filth,316,25,640
Cradle of Filth,459,25,626
Cradle of Filth,595,25,1811
Cradle of Filth,735,25,55
Cradle of Filth,950,25,411
Cradle of Filth,1183,25,327
Cradle of Filth,1604,25,178
Cradle of Filth,1619,25,1907
Cradle of Filth,1923,25,920
Cradle of Filth,1924,25,1346
Cradle of Filth,2046,25,113
Tamtrum,277,26,549
Laibach,454,27,431
Laibach,455,27,2690
Laibach,802,27,16
Laibach,1125,27,33
Gorgoroth,208,28,86
Gorgoroth,586,28,77
Gorgoroth,2100,28,911
And One,275,30,33
And One,396,30,1331
And One,397,30,221
And One,442,30,321
And One,520,30,1525
And One,694,30,264
And One,729,30,232
And One,762,30,287
And One,767,30,6316
And One,777,30,1131
And One,802,30,2
And One,850,30,12464
And One,935,30,364
And One,954,30,167
And One,1067,30,368
And One,1125,30,58
And One,1163,30,23
And One,1213,30,21
And One,1427,30,493
And One,1653,30,148
Amduscia,1089,31,197
Amduscia,1393,31,391
Covenant,40,32,411
Covenant,438,32,4
Covenant,557,32,164
Covenant,566,32,207
Covenant,686,32,804
Covenant,850,32,1002
Covenant,1213,32,25
Covenant,1541,32,29
Icon of Coil,257,34,176
Icon of Coil,506,34,81
Icon of Coil,557,34,164
Icon of Coil,1841,34,126
Icon of Coil,2046,34,155
KMFDM,73,36,294
KMFDM,761,36,881
KMFDM,891,36,225
KMFDM,1125,36,66
KMFDM,1427,36,533
KMFDM,1551,36,663
KMFDM,2029,36,384
Funker Vogt,257,37,220
Funker Vogt,438,37,5
Funker Vogt,1125,37,58
Dawn of Ashes,40,38,404
Dawn of Ashes,229,38,2
Dawn of Ashes,506,38,62
Sopor Aeternus & The Ensemble of Shadows,371,39,647
Sopor Aeternus & The Ensemble of Shadows,474,39,1491
Sopor Aeternus & The Ensemble of Shadows,496,39,89
Sopor Aeternus & The Ensemble of Shadows,516,39,5194
Sopor Aeternus & The Ensemble of Shadows,777,39,389
Sopor Aeternus & The Ensemble of Shadows,1063,39,76
Sopor Aeternus & The Ensemble of Shadows,1553,39,894
Sopor Aeternus & The Ensemble of Shadows,1601,39,1016
Sopor Aeternus & The Ensemble of Shadows,1841,39,278
Sopor Aeternus & The Ensemble of Shadows,2004,39,178
The Faint,49,40,79
The Faint,98,40,87
The Faint,176,40,543
The Faint,567,40,762
The Faint,714,40,85
The Faint,1280,40,322
The Faint,1352,40,81
The Faint,1393,40,342
The Faint,1472,40,84
The Faint,1524,40,654
The Faint,1992,40,478
The Faint,2015,40,564
God Module,161,41,1048
God Module,914,41,562
Noisuf-X,1841,43,114
Das Ich,257,44,155
Mindless Self Indulgence,36,45,321
Mindless Self Indulgence,273,45,498
Mindless Self Indulgence,320,45,774
Mindless Self Indulgence,504,45,106
Mindless Self Indulgence,652,45,87
Mindless Self Indulgence,792,45,428
Mindless Self Indulgence,841,45,221
Mindless Self Indulgence,926,45,239
Mindless Self Indulgence,951,45,447
Mindless Self Indulgence,1011,45,4204
Mindless Self Indulgence,1012,45,547
Mindless Self Indulgence,1020,45,257
Mindless Self Indulgence,1024,45,932
Mindless Self Indulgence,1028,45,131
Mindless Self Indulgence,1100,45,209
Mindless Self Indulgence,1259,45,4589
Mindless Self Indulgence,1371,45,493
Mindless Self Indulgence,1442,45,392
Mindless Self Indulgence,1479,45,239
Mindless Self Indulgence,1522,45,43
Mindless Self Indulgence,1551,45,547
Mindless Self Indulgence,1613,45,446
Mindless Self Indulgence,1619,45,1360
Mindless Self Indulgence,1827,45,632
Mindless Self Indulgence,1842,45,357
Mindless Self Indulgence,1947,45,243
Mindless Self Indulgence,2079,45,339
Pyotr Ilyich Tchaikovsky,496,46,50
Pyotr Ilyich Tchaikovsky,654,46,104
Pyotr Ilyich Tchaikovsky,687,46,23
Pyotr Ilyich Tchaikovsky,1597,46,177
Emperor,39,47,50
Emperor,108,47,506
Emperor,1287,47,40
Emperor,1324,47,367
Emperor,2100,47,305
Anorexia Nervosa,548,48,47
Anorexia Nervosa,1287,48,163
Reaper,506,49,185
Reaper,686,49,949
Reaper,1089,49,188
Gothminister,729,50,24
Gothminister,908,50,30
Gothminister,1841,50,278
Duran Duran,2,51,13883
Duran Duran,28,51,10
