Column1,Column2
,0
malice_mizer,"['Neoclassical_darkwave', 'Gothic_rock', 'Synthpop', 'Art_rock']"
diary_of_dreams,"['Electro-industrial', 'Darkwave']"
carpathian_forest,['Black_metal']
moi_dix_mois,"['Industrial_metal', 'Symphonic_metal', 'Gothic_metal']"
bella_morte,"['Dark_wave', 'Industrial_music', 'Deathrock', 'Gothic_rock']"
moonspell,"['Melodic_death_metal', 'Doom_metal', 'Gothic_metal', 'Black_metal']"
marilyn_manson,
dir_en_grey,"['Alternative_metal', 'Progressive_metal', 'Nu_metal', 'Death_metal', 'Avant-garde_metal', 'Gothic_metal']"
combichrist,"['Electro-industrial', 'Industrial_metal', 'Power_noise']"
grendel,
agonoize,['Aggrotech']
behemoth,
hocico,"['Electro-industrial', 'Aggrotech']"
dimmu_borgir,['Symphonic_black_metal']
london_after_midnight,
psyclon_nine,"['Electro-industrial', 'Aggrotech', 'Industrial_rock', 'Black_metal', 'Industrial_metal']"
the_crüxshadows,
:wumpscut:,
limbonic_art,['Symphonic_black_metal']
artista_sconosciuto,
xotox,
the_kovenant,"['Industrial_metal', 'Symphonic_black_metal']"
feindflug,"['Electro-industrial', 'Power_noise']"
cradle_of_filth,['Extreme_metal']
tamtrum,['Aggrotech']
laibach,"['Avant-garde_music', 'Electronic_music', 'Industrial_music', 'Martial_industrial', 'Experimental_music', 'Electro-industrial', 'Neoclassical_dark_wave']"
gorgoroth,['Black_metal']
and_one,"['Electronic_body_music', 'New_wave_music', 'Futurepop']"
amduscia,['Aggrotech']
covenant,
icon_of_coil,"['Electronic_Body_Music', 'Futurepop']"
kmfdm,"['Electro-industrial', 'Industrial_music', 'Industrial_rock', 'Industrial_metal']"
funker_vogt,"['Futurepop', 'Aggrotech', 'Electro-industrial']"
dawn_of_ashes,"['Extreme_metal', 'Electro-industrial', 'Industrial_metal', 'Black_metal']"
sopor_aeternus_&_the_ensemble_of_shadows,
the_faint,"['Indie_rock', 'Speed_metal', 'Death_metal', 'Noise_music', 'New_wave_music', 'Dance-punk', 'Intelligent_dance_music', 'Post-punk_revival']"
god_module,"['Electronic_body_music', 'Electro-industrial']"
noisuf-x,
das_ich,"['Gothic_music', 'Neue_Deutsche_Todeskunst', 'Electro-industrial', 'Dark_wave']"
mindless_self_indulgence,"['New_wave_music', 'Industrial_rock', 'Electropunk', 'Comedy_rock', 'Hip_hop_music', 'Electronic_rock']"
pyotr_ilyich_tchaikovsky,
emperor,
anorexia_nervosa,
reaper,
gothminister,"['Gothic_metal', 'Industrial_metal']"
duran_duran,"['Synth-pop', 'Dance-rock', 'New_wave_music']"
morcheeba,
air,
hooverphonic,
kylie_minogue,
daft_punk,"['Dance_music', 'Disco', 'House_music', 'Electronic_music']"
thievery_corporation,
goldfrapp,"['Folktronica', 'Trip_hop', 'Electroclash', 'Synth-pop', 'Ambient_music']"
new_order,
matt_bianco,"['Sophisti-pop', 'Blue-eyed_soul', 'Jazz-funk']"
talk_talk,"['Synth-pop', 'Art_rock', 'New_wave_music', 'Post-rock']"
prefab_sprout,"['New_wave_music', 'Jazz-pop', 'Pop_music', 'Sophisti-pop']"
enigma,
röyksopp,"['Ambient_music', 'Chill-out_music', 'Downtempo', 'House_music', 'Synth-pop', 'Electronic_music']"
coldplay,"['Pop_music', 'Pop_rock', 'Alternative_rock', 'Post-Britpop']"
faithless,"['Trance_music', 'Electronic_music', 'House_music', 'Trip_hop']"
madonna,
icehouse,
sade,
moby,"['Rock_music', 'Electronica', 'Downtempo', 'Techno', 'Ambient_music']"
dido,
depeche_mode,"['Alternative_rock', 'New_wave_music', 'Dance-rock', 'Electronic_rock', 'Synth-pop']"
café_del_mar,
basia,
camouflage,
electronic,
george_michael,
the_adventures,"['New_wave_music', 'Folk_music_of_Ireland', 'Alternative_rock', 'Pop_rock']"
fiction_factory,"['New_wave_music', 'Synthpop']"
groove_armada,"['Funk_music', 'Trip_hop', 'Electronica', 'Big_beat', 'House_music']"
portishead,
marc_almond,"['Art_pop', 'Synth-pop', 'Gothic_rock', 'New_wave_music', 'Cabaret']"
cock_robin,
cut_copy,"['New_wave_music', 'Dance-punk', 'Indietronica', 'Synth-pop']"
spandau_ballet,"['New_wave_music', 'Synth-pop', 'Sophisti-pop', 'Blue-eyed_soul']"
katie_melua,
deacon_blue,"['Pop_music', 'Blues', 'Rock_music', 'Pop_rock', 'Sophisti-pop', 'Alternative_rock']"
gorillaz,"['Trip_hop', 'Art_pop', 'Hip_hop_music', 'Electronic_music', 'Alternative_rock']"
lady_gaga,
kosheen,"['Breakbeat', 'Alternative_rock', 'Electronica', 'Trip_hop', 'Drum_and_bass']"
nik_kershaw,
vitamin_z,"['New_wave_music', 'Synthpop']"
jean-michel_jarre,"['Techno', 'Electronic_music', 'Ambient_music', 'Progressive_rock', 'Trance_music', 'New-age_music']"
ministry_of_sound,
simply_red,"['Sophisti-pop', 'Blue-eyed_soul', 'Soul_music', 'Pop_music']"
fleetwood_mac,"['Rock_music', 'Folk_rock', 'Blues_rock', 'Soft_rock', 'British_blues', 'Pop_rock', 'Art_pop']"
duffy,
japan,
inxs,"['Pub_rock_(Australia)', 'New_wave_music']"
abc,
pleq,
segue,
max_richter,"['Postminimalism', 'Minimal_music', 'Ambient_Music', 'Contemporary_classical_music']"
celer,
pjusk,
pleq_&_segue,
burial,
magnitophono,
andy_graydon,
ddekombinacja,
pleq_&_anna_rose_carter,
go_koyashiki,
dustin_o'halloran,
offthesky,
nebulo,
fjordne,
pleq_&_chihiro,
spyweirdos,
billy_gomberg_+_offthesky,
deru,
lukid,
manekinekod,
danny_norbury,
shinkei_&_mise_en_scene,
aslope,
the_notwist,"['Morr_Music', 'Electronica', 'Post-rock', 'Post-hardcore', 'Indie_rock']"
off_the_sky,
strom_noir,
aless,
philippe_lamy,
part_timer,
deaf_center,
lauki,
big_brotherz,
cokiyu,
verbose,
worm_is_green,
library_tapes,
richard_skelton,"['Experimental_music', 'Minimalist_music', 'Drone_music']"
matryoshka,
aidan_baker,"['Drone_metal', 'Ambient_music', 'Post-rock', 'Experimental_music', 'Space_rock']"
ylid,
daisuke_miyatani,
dakota_suite,
ryonkt,
hird,
svarte_greiner,
the_boats,
the_sound_of_lucrecia,
porzellan,
deep_forest,"['Electronic_music', 'Ambient_music', 'Ethnic_electronica', 'World_music', 'New-age_music']"
porcupine_tree,"['Psychedelic_rock', 'Progressive_metal', 'Progressive_rock', 'Alternative_rock', 'Post-progressive']"
de/vision,['Synthpop']
radiohead,"['Experimental_rock', 'Alternative_rock', 'Art_rock', 'Electronica']"
robbie_williams,"['Alternative_rock', 'Electronic_dance_music', 'Soft_rock', 'Pop_music', 'Pop_rock']"
vast,"['Experimental_rock', 'Alternative_metal', 'Industrial_rock', 'Alternative_rock']"
michael_jackson,
????_????,
the_cure,"['Gothic_rock', 'New_wave_music', 'Alternative_rock', 'Post-punk']"
????_???,
enrique_iglesias,
god_is_an_astronaut,['Post-rock']
pink_floyd,"['Psychedelic_pop', 'Progressive_rock', 'Experimental_rock', 'Art_rock']"
????_????,
planet_funk,"['Electronic_rock', 'House_music', 'Alternative_dance', 'Electronica']"
the_cranberries,"['Jangle_pop', 'Post-punk', 'Irish_folk', 'Pop_rock', 'Alternative_rock']"
scissor_sisters,"['Nu-disco', 'Indie_pop', 'Glam_rock', 'Alternative_rock', 'Electroclash']"
?????_??????,
?????_????,
mew,
stereophonics,"['Alternative_rock', 'Post-Britpop', 'Britpop']"
garbage,
placebo,
infected_mushroom,"['Electronica', 'Experimental_music', 'Glitch_hop', 'Electro_house', 'Industrial_music', 'Psychedelic_trance', 'Dream_trance', 'Progressive_psytrance', 'Classical_music', 'Electronic_rock']"
delerium,"['New-age_music', 'Dark_ambient', 'Ambient_house', 'Electronic_music', 'Worldbeat', 'Trance_music']"
scorpions,
rock_star_supernova,['Hard_rock']
dolores_o'riordan,
tommy_lee,
roxette,"['Power_pop', 'Dance-pop', 'Soft_rock', 'Pop_music', 'Pop_rock']"
paradise_lost,
keane,
jamiroquai,"['Funk', 'Contemporary_R&B', 'Disco', 'Acid_jazz']"
james_blunt,
reamonn,"['Alternative_rock', 'Pop_rock']"
blackfield,"['Progressive_rock', 'Art_rock', 'Pop_rock', 'Alternative_rock']"
a-ha,"['New_wave_music', 'Alternative_rock', 'Pop_rock', 'Synth-pop']"
opeth,"['Progressive_metal', 'Black_metal', 'Progressive_rock', 'Progressive_death_metal']"
poets_of_the_fall,"['Indie_rock', 'Progressive_Rock', 'Symphonic_rock', 'Alternative_rock', 'Post-grunge']"
muse,
onerepublic,"['Pop_rock', 'Alternative_rock']"
elton_john,
tears_for_fears,"['Synth-pop', 'Pop_rock', 'New_wave_music']"
the_tiger_lillies,['Dark_cabaret']
bright_eyes,
beirut,
tom_waits,"['Jazz', 'Experimental_music', 'Blues', 'Rock_music']"
system_of_a_down,"['Heavy_metal_music', 'Alternative_metal', 'Nu_metal', 'Progressive_metal', 'Hard_rock']"
arcade_fire,"['Indie_rock', 'Dance-rock', 'Art_rock', 'Baroque_pop']"
gogol_bordello,
?????????,
cake,
blur,
damien_rice,"['Folk_rock', 'Indie_rock', 'Folk_music']"
andrew_bird,['Indie_rock']
beck,
arctic_monkeys,"['Garage_rock', 'Psychedelic_rock', 'Post-punk_revival', 'Indie_rock']"
babyshambles,"['Indie_rock', 'Post-punk_revival']"
my_chemical_romance,"['Post-hardcore', 'Pop_punk', 'Punk_rock', 'Emo', 'Alternative_rock', 'Hard_rock']"
bloc_party,"['Post-punk_revival', 'Art_punk', 'Alternative_dance', 'Indie_rock', 'Post-Britpop', 'Alternative_rock', 'Dance-punk']"
the_decemberists,
bob_dylan,
jacques_brel,
devotchka,"['Gypsy_punk', 'Indie_folk', 'Dark_cabaret', 'Indie_rock']"
jeff_buckley,"['Soul_music', 'Folk_rock', 'Jazz', 'Blues', 'Alternative_rock', 'Reggae']"
sparklehorse,"['Alternative_country', 'Experimental_Music', 'Indie_rock', 'Alternative_rock', 'Lo-fi_music']"
death_cab_for_cutie,"['Alternative_rock', 'Emo', 'Indie_rock', 'Indie_pop']"
man_man,['Experimental_rock']
m._ward,"['American_Primitive_Guitar', 'Indie_folk', 'Alternative_country']"
